id,name,age,score
1,Suresh,52,6
2,Neha,53,33
3,Neha,44,47
4,Pooja,38,97
5,Neha,28,8
6,Neha,28,24
7,Amit,55,81
8,Suresh,46,77
9,Amit,55,52
10,Rahul,46,49
11,Amit,18,75
12,Neha,37,19
13,Amit,46,32
14,Neha,36,100
15,Amit,48,87
16,Pooja,42,96
17,Rahul,51,9
18,Rahul,46,2
19,Suresh,30,45
20,Amit,27,53
21,Suresh,48,46
22,Amit,50,61
23,Neha,38,39
24,Amit,52,93
25,Suresh,19,40
26,Neha,24,100
27,Rahul,34,35
28,Neha,45,44
29,Suresh,23,16
30,Rahul,38,17
31,Suresh,41,86
32,Pooja,53,48
33,Pooja,38,66
34,Suresh,24,5
35,Suresh,44,64
36,Amit,39,51
37,Neha,23,57
38,Neha,39,96
39,Pooja,54,15
40,Rahul,23,90
41,Neha,19,94
42,Amit,57,83
43,Neha,28,6
44,Neha,28,60
45,Neha,19,70
46,Pooja,26,54
47,Rahul,29,72
48,Rahul,47,38
49,Neha,28,84
50,Amit,53,23
51,Pooja,25,41
52,Suresh,38,96
53,Neha,35,29
54,Neha,19,45
55,Suresh,24,100
56,Amit,39,29
57,Suresh,29,55
58,Rahul,21,89
59,Rahul,44,51
60,Pooja,23,91
61,Suresh,56,20
62,Suresh,48,80
63,Neha,39,8
64,Suresh,28,90
65,Pooja,52,79
66,Neha,45,74
67,Rahul,23,24
68,Rahul,27,62
69,Pooja,44,66
70,Rahul,21,86
71,Suresh,56,10
72,Amit,28,8
73,Pooja,46,51
74,Rahul,21,66
75,Pooja,38,35
76,Pooja,33,38
77,Amit,52,70
78,Amit,36,62
79,Suresh,20,3
80,Pooja,50,77
81,Amit,26,73
82,Suresh,42,38
83,Rahul,53,33
84,Suresh,45,54
85,Neha,38,98
86,Pooja,42,27
87,Pooja,42,27
88,Amit,29,85
89,Pooja,34,52
90,Amit,53,1
91,Rahul,27,22
92,Rahul,26,73
93,Amit,55,51
94,Amit,33,92
95,Pooja,18,80
96,Amit,37,18
97,Amit,25,66
98,Neha,24,47
99,Rahul,56,97
100,Rahul,33,21
101,Suresh,45,83
102,Suresh,46,59
103,Pooja,28,38
104,Suresh,44,38
105,Neha,26,85
106,Neha,23,7
107,Suresh,57,49
108,Suresh,53,12
109,Amit,57,86
110,Suresh,38,81
111,Neha,56,92
112,Suresh,19,54
113,Amit,46,90
114,Neha,33,11
115,Neha,54,88
116,Neha,55,47
117,Neha,49,32
118,Neha,51,58
119,Neha,56,6
120,Suresh,48,32
121,Amit,46,66
122,Rahul,19,2
123,Pooja,20,71
124,Amit,51,98
125,Rahul,35,82
126,Suresh,37,68
127,Neha,34,20
128,Pooja,29,85
129,Suresh,29,4
130,Amit,55,69
131,Suresh,49,81
132,Amit,20,93
133,Rahul,22,77
134,Pooja,52,10
135,Neha,46,89
136,Pooja,56,30
137,Amit,36,52
138,Amit,18,10
139,Neha,18,50
140,Neha,45,39
141,Neha,47,88
142,Suresh,19,15
143,Rahul,26,17
144,Neha,50,57
145,Pooja,28,36
146,Neha,24,54
147,Rahul,38,31
148,Pooja,29,57
149,Rahul,55,36
150,Amit,37,61
151,Rahul,49,67
152,Amit,54,45
153,Pooja,56,30
154,Suresh,54,70
155,Pooja,39,7
156,Amit,51,14
157,Neha,20,83
158,Suresh,40,84
159,Suresh,27,48
160,Pooja,33,10
161,Rahul,47,79
162,Pooja,33,91
163,Rahul,42,30
164,Pooja,30,33
165,Amit,47,88
166,Amit,45,16
167,Neha,48,77
168,Rahul,57,65
169,Neha,39,79
170,Rahul,45,48
171,Pooja,55,31
172,Suresh,36,51
173,Pooja,52,88
174,Pooja,32,8
175,Neha,40,18
176,Neha,26,99
177,Rahul,29,29
178,Neha,20,87
179,Rahul,42,85
180,Pooja,54,96
181,Rahul,38,1
182,Rahul,49,95
183,Neha,21,59
184,Neha,50,13
185,Suresh,18,37
186,Suresh,39,22
187,Neha,52,56
188,Suresh,24,41
189,Rahul,36,55
190,Rahul,40,80
191,Pooja,53,57
192,Pooja,42,31
193,Neha,38,36
194,Amit,42,34
195,Neha,35,54
196,Suresh,24,42
197,Rahul,38,80
198,Neha,18,28
199,Suresh,31,100
200,Neha,47,61
201,Amit,32,0
202,Pooja,52,88
203,Neha,29,64
204,Rahul,39,23
205,Pooja,51,28
206,Rahul,37,28
207,Neha,26,30
208,Pooja,52,2
209,Amit,55,23
210,Neha,44,61
211,Amit,47,71
212,Suresh,38,40
213,Neha,39,89
214,Suresh,56,75
215,Amit,23,10
216,Neha,57,99
217,Amit,18,19
218,Pooja,56,74
219,Pooja,28,91
220,Neha,38,89
221,Suresh,29,99
222,Suresh,43,22
223,Suresh,32,87
224,Suresh,55,30
225,Amit,41,5
226,Pooja,46,10
227,Suresh,42,76
228,Suresh,29,33
229,Amit,18,35
230,Rahul,32,17
231,Rahul,53,11
232,Amit,48,40
233,Neha,36,99
234,Rahul,44,80
235,Amit,37,33
236,Suresh,53,41
237,Neha,27,66
238,Neha,55,80
239,Pooja,57,27
240,Neha,53,86
241,Suresh,52,40
242,Amit,41,17
243,Suresh,37,70
244,Suresh,25,23
245,Pooja,34,99
246,Neha,50,65
247,Suresh,19,51
248,Rahul,33,61
249,Rahul,36,13
250,Suresh,18,86
251,Rahul,48,86
252,Pooja,28,100
253,Amit,51,81
254,Pooja,46,93
255,Amit,31,15
256,Rahul,18,79
257,Rahul,41,23
258,Pooja,19,92
259,Neha,53,46
